GAME_ID,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9
22200172,1610612742,1629029,203915,1627827,203501,203493,203939,1628467,1630182,201580
22200173,1610612755,202699,1630178,203954,1629001,200782,1627777,1627863,1629003,1630194
22200174,1610612766,1626179,203486,1626162,1629023,1629667,1628372,1630547,1630208,1630177
22200175,1610612757,203924,1626159,1628404,1629014,1629234,1630570,1629642,1631133,1630535
22200176,1610612743,1628971,1627750,203484,203932,203999,1629008,201145,1631128,201599
22200177,1610612756,1628969,1626166,1628470,1626164,1629028,1627814,1629111,202687,203967
22200178,1610612765,202711,1630165,1630191,1630180,202692,1631093,1630587,1631105,1628977
22200179,1610612761,1628384,1628449,1630567,1627832,1631132,1629018,1630625,203490,1627823
22200180,1610612749,1630699,1628975,1626171,201572,1629670,201588,202083,201586,1630572
22200181,1610612750,1630162,203497,1630183,1626156,1626157,203937,1627752,1627854,1629669
22200182,1610612739,1630596,1628378,1629636,1627747,1628386,201567,1626224,1630171,201577
22200183,1610612758,1628368,1628989,1627734,203084,1631099,1628370,1630558,1629002,1626168
22200184,1610612751,201142,1626220,1629651,203925,203552,1630560,1628410,1627732,201988
22200185,1610612762,1628374,201144,1627736,203482,203903,1629012,1629020,200752,1629659
22200186,1610612738,1629684,203935,1628369,1628401,201933,1630573,203943,1630202,1628436
22200187,1610612761,1630567,1628384,201152,1628449,203490,1630201,1629018,1627823,1630625
22200188,1610612737,1627749,1629027,1628381,203991,1629631,1628988,203200,1626163,1631100
22200189,1610612766,1626179,1626162,1630163,1629667,1629023,203486,1630208,1630177,1630547
22200190,1610612757,1629014,203924,203081,1628404,1629234,1631101,1629642,1630570,1631133
22200191,1610612745,1630224,1629645,201569,1631095,1630231,1630586,1631106,1630578,1630227
22200192,1610612760,1630581,1628983,1630526,1629652,1630598,1629026,1631114,1630197,1630198
22200193,1610612750,1626157,1626156,203497,1630162,1630183,1627752,203937,1629669,1629162
22200194,1610612763,1629723,1626145,203500,1630583,1628415,1631223,1631222,1629634,1631113
22200195,1610612762,1628374,201144,203482,1627736,203903,1629012,1629020,1629659,200752
22200196,1610612743,1627750,1628971,203999,1631128,203932,203484,1629008,201145,201599
22200197,1610612744,201939,203952,203110,202691,1626172,1628978,1629673,1630228,1630237
22200198,1610612751,201142,1626220,203925,1628410,1629139,1630560,202693,1629651,201988
22200199,1610612761,1628384,1630567,1628449,201152,1630625,1627823,1631132,1630201,1630288
22200200,1610612766,1629023,1626162,1626179,1630163,203486,1629667,1630177,1630208,1630547
22200201,1610612760,1630197,1631114,1628983,1629652,1630581,1629026,1630598,1630526,1631119
22200202,1610612756,1626164,1628969,1629028,1628470,1626166,1627814,1630613,1629111,1629006
22200203,1610612746,202331,1628379,1627826,202694,1629611,1626181,202704,201587,1629599
22200204,1610612737,1627749,1629631,1629027,1628381,203991,1628988,1630168,1631100,1630552
22200205,1610612759,1628966,1626196,1630170,1631110,1629676,1629646,203926,1627751,1629640
22200206,1610612763,1628415,1629723,1629630,1629634,1628991,1630583,1626145,1631223,203500
22200207,1610612746,202331,202694,1627826,201587,202322,202704,1626181,1629611,1629599
22200208,1610612752,1629628,1628973,1629629,203944,1630193,1630579,1628392,1630167,201565
22200209,1610612759,1630170,1629640,1627751,1631110,1628966,1626196,1630200,203926,1629646
22200210,1610612751,201142,1626220,203552,1628410,1630560,1627732,203925,1629139,1629651
22200211,1610612754,1630169,1626167,1627741,1630188,1631097,1629614,204456,1629052,1630174
22200212,1610612750,1630162,1626157,1630183,1626156,203497,203937,1629162,1627752,1629669
22200213,1610612760,1628983,1629652,1631114,1630598,1630322,1629026,1630581,1630197,1630526
22200214,1610612738,1628369,1628401,1629684,1630573,201143,1628436,1630202,1627759,1628382
22200215,1610612748,1628997,202710,200768,1629622,1629216,1631107,203473,1629130,1631288
22200216,1610612739,1629636,1628378,1630205,1630596,1630171,201567,1627747,201577,1626224
22200217,1610612741,203897,201942,202696,1630245,1627936,1630172,201609,203083,1629750
22200218,1610612745,1629645,1630224,201569,1631095,1630578,1630231,1630586,1631106,1630227
22200219,1610612752,1629629,203944,1628973,1629628,1630193,1630167,1628392,1630579,201565
22200220,1610612744,201939,203952,202691,203110,1629673,1630237,1626172,1628978,203210
22200221,1610612751,201142,1626220,203925,1627732,1629139,203552,1629651,1630560,1628410
22200222,1610612759,1630170,1631110,1628966,1630200,1627751,1626196,1629676,1631160,203476
22200223,1610612765,1631093,202711,1630180,1630165,1631105,1628963,202692,1630587,1628977
22200224,1610612748,200768,1628997,1629622,1629312,1631115,1631107,1631288,1628389,202710
22200225,1610612766,1626179,1629023,202330,1626162,1630208,203486,1629667,1630177,1630547
22200226,1610612749,201572,203507,1626171,1628975,1628960,1629670,201950,1630699,201588
22200227,1610612753,1630591,1628976,1630532,1629626,1629643,1628964,203914,203082,1629678
22200228,1610612754,1630169,1627741,1630188,1631097,1626167,1629614,1629052,1630543,204456
22200229,1610612760,1630581,1628983,1631114,1630526,1629652,1630598,1630322,1630197,1629026
22200230,1610612743,203484,1628971,201145,1630538,1629008,1628427,1630192,201599,1631128
22200231,1610612738,1628369,1627759,1628401,1629684,201143,1630573,1627763,1628436,1630202
22200232,1610612756,1626164,1629028,1628969,1626166,1628470,1627814,1630613,203967,1629111
22200233,1610612752,1629628,1628973,203944,1630579,1630193,1629629,1630167,1628392,201565
22200234,1610612765,202711,1630165,1631093,202692,1628963,1631105,1630180,1628977,1630587
22200235,1610612761,1630567,1627832,1628384,201152,1627823,1631132,1630201,1630288,203920
22200237,1610612750,1630162,1626156,1626157,1630183,203497,203937,1627752,1629162,1629669
22200238,1610612762,203903,1628374,1629659,203482,1627736,1629020,1629012,1631323,1631117
22200239,1610612759,1631110,1628966,1629640,1630200,1627751,1629646,1629676,1626196,203926
22200240,1610612752,1629656,1628973,1630193,1629628,203944,1629011,1630167,1630579,1628392
22200241,1610612766,1626179,202330,1629023,203486,1626162,1628372,1629667,1630208,1630539
22200242,1610612765,202711,1631093,1630165,1631105,202692,1628995,1628963,1628977,1630587
22200243,1610612763,1626145,1628415,1629723,1631222,203500,1631223,1630583,1629634,1631113
22200244,1610612748,1628997,1629622,1631107,200768,1629312,1628389,1629130,203473,1631288
22200245,1610612744,201939,203952,202691,203110,1626172,1629673,1628978,203210,1630228
22200246,1610612743,203484,1628971,1630538,201599,1629008,1628432,1631128,1630192,1628427
22200247,1610612759,1629640,1630170,1631110,1630200,203476,1629646,203926,1626196,1628966
22200248,1610612737,1627749,1631100,1629027,1628381,203991,1630168,1628988,203200,1630552
22200249,1610612753,1628964,1630532,1629626,1630591,203914,203082,1629678,1630181,1630284
22200250,1610612738,1627759,1628369,203935,1629684,201143,1627763,1628401,1630573,1628436
22200251,1610612757,1628404,1629014,203924,203994,1631101,1629642,1626159,1629234,1630570
22200252,1610612748,200768,1629622,1628997,1628389,1631288,1631107,1629312,203473,1629130
22200253,1610612744,1630228,1630237,1630541,1629673,1629660,203210,1628978,1631157,1631116
22200254,1610612752,1629628,1628973,1629656,203944,1630193,1630167,1628392,1630579,1630540
22200255,1610612762,203903,1628374,203482,1627736,1629012,1629020,1629659,1631117,1629638
22200256,1610612751,1626220,201142,1627732,202681,203552,203925,1629651,201988,202693
22200257,1610612758,1627734,1628368,1628989,203084,1631099,1628370,1630558,1626168,1629002
22200258,1610612765,202711,1630165,1631105,1631093,1628995,1630587,1628963,202692,202709
22200259,1610612747,203076,1629022,1630559,201566,201976,1628972,203471,1628418,1629134
22200260,1610612755,1629003,202699,1629001,200782,1626149,1630194,1627788,1627777,1627863
22200261,1610612757,1629014,203924,1628404,203994,1626159,1629642,1629234,1630570,1631101
22200262,1610612750,1626157,1630162,1626156,203497,1630183,203937,203085,1629669,1627752
22200263,1610612758,1627734,203084,1628368,1628989,1628370,1631099,1626168,1630558,1629002
22200264,1610612742,1629029,1627827,1626174,203915,203493,203501,1630182,203939,202722
22200265,1610612764,1630166,1628398,1630557,204001,203115,1630692,1630264,1629655,1631098
22200266,1610612751,201142,1627732,1629651,202681,1626220,1628410,202693,1630560,203925
22200267,1610612741,201942,203897,202696,1627936,1630172,1629632,1630245,1629750,203083
22200268,1610612743,1628971,203999,203484,203932,1628427,1628432,1630192,1631128,1631298
22200269,1610612740,1627742,1630631,1628984,1629627,202685,1630230,1630700,1630529,1626204
22200270,1610612765,202711,1631093,1631105,1628995,1628977,202709,1628963,1630587,202692
22200271,1610612746,1629599,1629611,1626181,202694,1627826,202704,203496,202322,1629650
22200272,1610612750,1626157,1630162,1626156,203497,1630183,203937,1629669,203085,1629675
22200273,1610612755,1629003,1629001,202699,1626149,200782,1627777,1630194,1627788,1627863
22200274,1610612757,1629014,1626159,1628404,203924,203994,1630570,1629642,1631101,1630641
22200275,1610612758,1627734,1628989,1628368,1631099,203084,1628370,1629644,1630558,1629056
22200276,1610612751,1626220,201142,202681,1627732,1629651,203552,202693,203925,201988
22200277,1610612764,1628398,203078,204001,1630557,1630166,1630692,203115,1630264,1629655
22200278,1610612737,1629631,1629027,1627749,1628381,1630168,1631100,1628988,1630552,1626163
22200279,1610612740,1629627,1630530,1630700,1630529,1630631,1627742,202685,1626204,1628984
22200280,1610612739,1629636,1629731,1628378,1626224,1630171,1630596,201577,1628386,203526
22200281,1610612741,203897,201942,202696,1630172,1627936,1630245,1629632,1629750,201609
22200282,1610612747,203076,1629022,2544,1630559,1628972,203471,201566,1629134,1629117
22200283,1610612765,1630165,202711,1628963,1630587,1628995,1628977,203585,202692,1631105
22200284,1610612762,1628374,203903,203482,1629638,1629020,1629012,1631117,1627736,1629659
22200285,1610612743,1627750,203999,1628971,203484,203932,1628427,1628432,1630192,202397
22200286,1610612742,1629029,1627827,1628467,203915,203493,1626174,1630182,203501,203939
22200287,1610612760,1631114,1630581,1628983,1630544,1630526,1630598,1631172,1629026,1629652
22200288,1610612747,1629022,2544,1630559,203471,201566,1628972,1629117,1628418,1629134
22200289,1610612762,1628374,1627736,203903,203482,1629012,1629020,1631117,1629659,1629638
22200290,1610612757,203924,1629014,1626159,1628404,203994,1631101,1630570,1629234,1629642
22200291,1610612744,203110,201939,203952,202691,1629673,1626172,1630228,1628978,203210
22200292,1610612754,1627741,1630169,1630188,1631097,1629052,1630174,204456,1626167,1630543
22200293,1610612748,1628997,1629639,1628389,1629622,200768,1629312,1630696,203473,1631288
22200294,1610612764,203078,203115,1630166,204001,1630692,1628420,1630557,1629653,1630264
22200295,1610612739,1629636,1630596,1628378,1629731,1630171,1626224,1629603,203526,201577
22200296,1610612763,1629630,1628415,203500,1628991,1629723,1626145,1630583,1629634,1631222
22200297,1610612755,1629003,1630194,202699,1629001,1627863,1627788,1627777,1626149,200782
22200298,1610612742,1627827,1629029,1626174,203915,1628467,203501,1630182,202722,203939
22200299,1610612737,1627749,1629027,1629631,203991,1628381,203200,1631100,1630235,1630168
22200300,1610612750,1630162,1626156,203497,203937,1629669,203085,1626157,1629675,1627854
22200301,1610612766,1630177,1629667,203486,1629023,1626162,1631121,1630547,1630539,1630208
22200302,1610612753,1629626,1631094,203914,1631216,1630532,1630181,1629678,1630284,1629021
22200303,1610612739,1629636,1630596,1630171,1627747,1629731,1626224,1628378,201577,1630600
22200304,1610612760,1628983,1630526,1629652,1630581,1630197,1631114,1630544,1629026,1631172
22200305,1610612745,1630224,1629645,201569,1630231,1630578,1631106,1630227,1631095,1629726
22200306,1610612741,201942,203897,202696,1627936,1630172,1629632,1630245,203083,201609
22200307,1610612756,1626164,1628969,1629028,1628470,1627814,1626166,1629013,1630613,202687
22200308,1610612754,1630169,1626167,1627741,1631097,1629614,1630188,1630174,204456,1629052
22200309,1610612752,203944,1629656,1629011,201565,1629628,1630193,1628973,1630167,1629629
22200310,1610612744,201939,203110,202691,203952,1629673,1630228,1626172,1628978,1630237
22200311,1610612746,202704,202694,1627826,1629611,201587,1629599,1626181,203496,1631217
22200312,1610612755,1629003,203954,1629001,1627777,202699,1627863,200782,1629680,1630194
22200313,1610612737,1627749,1629027,1629633,203991,1631100,1630249,1630168,1628381,1630235
22200314,1610612748,1628389,200768,1629639,1629622,1629312,1628997,1629216,1629130,2617
22200315,1610612764,1628398,203078,204001,1628420,1630166,1630557,1630692,203115,1629655
