,GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9,DAY,WEEK,MONTH,HOME_TEAM_WINS
61,12100062,1610612752,203944,1629628,201565,1629011,203095,1629656,1630167,202689,1630193,1610612764,1629655,1628398,203484,203915,203526,1630166,1628988,1626149,202722,288.0,41.0,10.0,1
62,12100063,1610612741,203897,201942,202696,1628366,1627936,1630172,1628972,1629750,1628396,1610612763,1628991,1629630,203500,1630217,203937,1630533,1629634,1629001,1626145,288.0,41.0,10.0,1
63,12100064,1610612749,201950,1626192,203507,201572,1628960,1629670,201588,203648,1630572,1610612742,1627827,1628973,1630647,1628373,1628425,1630182,203504,1628467,1630624,288.0,41.0,10.0,0
64,12100065,1610612759,1629640,1627749,1628401,1627751,1630170,1627854,203926,1628966,1629234,1610612745,1629645,1626174,1630224,1630256,1630578,1627863,1628021,1629717,201571,288.0,41.0,10.0,1
65,12100066,1610612744,201939,1629673,203110,203952,1627814,202357,1626172,2738,1630541,1610612757,203463,1628372,203468,203496,1626181,1629604,203994,1630535,1627737,288.0,41.0,10.0,1
66,12200001,1610612764,1629060,1631098,204001,1628398,1630557,1628420,1626153,203078,1629655,1610612744,1630228,1630541,1630164,1629673,1628978,203952,203210,1626172,203110,273.0,39.0,9.0,0
67,12200003,1610612749,1629670,1630699,1630572,1626171,1628975,1628960,201572,201950,201586,1610612763,1631113,1630583,1631223,1631222,1630533,1631254,1629723,1631367,1629634,274.0,39.0,10.0,0
68,12200004,1610612744,1630228,1630541,1629673,1630164,1631116,201939,203110,203952,1626172,1610612764,1629060,1631098,1628398,203115,204001,1628420,1629655,1626153,1630648,275.0,39.0,10.0,1
69,12200005,1610612738,1627763,1627759,203935,1628369,1630573,1630202,201143,1628401,1629684,1610612766,1630163,1626179,1629023,1626162,1630547,1629667,1630208,203486,1630550,275.0,39.0,10.0,1
70,12200006,1610612761,1629018,1630201,1630567,1631132,1627783,1628367,1630173,1628384,1628391,1610612762,1629020,1628374,203482,1627736,201144,1629012,203903,200752,1629638,275.0,39.0,10.0,1
71,12200007,1610612745,1631095,1630224,1630231,1630528,1631106,1629645,1630578,1630227,201569,1610612759,1630200,1631104,1628380,1630170,1628966,1629676,1631110,1627751,1626196,275.0,39.0,10.0,1
72,12200009,1610612751,1627732,1630549,201142,202681,1630560,1626220,1630561,1629139,203925,1610612755,1630194,1629680,1627788,1630577,1629003,1629001,1630198,1630531,202699,276.0,40.0,10.0,0
73,12200010,1610612763,1630583,1630217,1629723,1628415,1630533,1629630,1629634,203500,1626145,1610612753,1630181,1631094,1628964,1628976,1630175,1629021,1629626,1630591,1629643,276.0,40.0,10.0,1
74,12200011,1610612743,202397,1628971,201145,1630192,1628432,1631128,1628427,201599,203999,1610612760,1631114,1630581,1630544,1631172,1630526,1630197,1630598,1629647,1629026,276.0,40.0,10.0,0
75,12200012,1610612747,1631108,1629308,1627745,1629134,1629117,1630559,1631306,1628418,203076,1610612758,1631099,1630558,203084,1628368,1626158,1626168,1627734,1628370,1628989,276.0,40.0,10.0,0
76,12200013,1610612746,1629599,1629875,1630527,1631217,1626181,1631351,1627826,202331,202695,1610612757,203924,1629014,1628404,203081,203994,1630553,1626159,1631101,1629642,276.0,40.0,10.0,1
77,12200014,1610612752,1628392,1629628,1630540,1630167,1630193,1628973,203944,1629011,203095,1610612765,1631105,1630180,1630595,1631093,202711,1630191,1630587,1628963,1630165,277.0,40.0,10.0,1
78,12200015,1610612748,1630209,1629639,1628389,1629622,1628997,1630585,1629312,1629130,200768,1610612750,203937,1629669,1630162,203085,1627752,1630183,1629675,1627854,1630233,277.0,40.0,10.0,0
79,12200016,1610612741,202696,201942,1630245,1629750,1631207,203083,203897,1630172,1627936,1610612740,1629637,1630700,1630631,1628984,202066,1630230,1626195,1629627,203468,277.0,40.0,10.0,0
80,12200017,1610612757,1629014,203081,1630553,203924,203994,1628404,1626159,1631101,1629642,1610612762,203482,203903,1628374,1629020,201144,1629012,1631117,1629659,1626169,277.0,40.0,10.0,0
81,12200018,1610612766,1626179,1630163,1626162,1629023,203486,1630547,1630208,1630550,1629667,1610612754,1630188,1630537,1630169,1627741,1631097,1626167,1630543,1630678,1631112,278.0,40.0,10.0,0
82,12200019,1610612755,1629003,1627788,201935,203954,1630194,200782,202699,1626149,1630178,1610612739,1629731,1628378,1630171,1630612,1630600,1628386,1626224,201567,1629636,278.0,40.0,10.0,1
83,12200020,1610612738,1628369,1627759,203935,1630573,201143,1628401,1627763,1629684,1630202,1610612761,1629018,1630567,1628384,1627783,1630173,1627832,1628367,1628449,203920,278.0,40.0,10.0,0
84,12200021,1610612760,1631114,1631172,1630647,1629026,1630598,1630322,1629647,1630197,1630544,1610612742,1626174,1630702,1630182,1630593,203939,1627827,203493,203915,1629033,278.0,40.0,10.0,0
85,12200022,1610612747,1630559,1631306,201566,1629117,201976,1629134,1631108,2544,1629308,1610612756,1627814,101108,1629028,1626164,1629013,1628969,1627789,203967,1630688,278.0,40.0,10.0,0
86,12200023,1610612737,203200,1627749,1629027,1630168,1628988,1629631,1628381,203991,1626163,1610612749,201950,1628960,1626171,1628975,201572,203507,1626192,201586,201588,279.0,40.0,10.0,1
87,12200024,1610612751,201142,1627732,1626220,1629139,1630560,201988,1628410,1629651,1630556,1610612748,1631288,1628389,1629622,200768,1629130,1629312,1630696,1630585,202710,279.0,40.0,10.0,0
88,12200026,1610612759,1630170,1631110,1630200,1627751,203926,1628966,1626196,1628380,1631104,1610612753,1630175,1630532,203082,1631094,1628976,1630181,1630591,1628964,1629643,279.0,40.0,10.0,0
89,12200028,1610612747,1630590,1631108,1628418,1631306,1629022,1630559,1628407,1629308,1630346,1610612750,1630162,1630183,1626156,1629675,203497,1629669,1629162,1627752,1627854,279.0,40.0,10.0,0
90,12200029,1610612766,1630163,1626179,1630547,1629023,1626162,203486,1630550,1629667,1631109,1610612738,203943,1629684,1630202,1627759,1630573,1628401,1628382,201933,1627774,280.0,40.0,10.0,0
91,12200030,1610612752,1629628,1628973,203944,1629629,1630540,1630167,1630193,1629011,1628392,1610612754,1630169,1630537,1630188,1627741,1630678,1631097,1626167,1629048,204456,280.0,40.0,10.0,1
92,12200031,1610612741,201942,202696,203897,1630245,1629750,1630172,1629632,201609,1627936,1610612743,201599,1629008,203932,1630538,1628971,203484,1630192,1628432,201145,280.0,40.0,10.0,1
93,12200032,1610612745,1630231,1630227,1630224,1631106,1629645,1628981,1630528,1630256,1630586,1610612761,1627783,1629018,1628384,1630567,1628449,1630625,1630173,1631132,1628367,280.0,40.0,10.0,1
94,12200033,1610612763,1630217,1628415,1629630,1630583,203500,1630533,1630214,1629634,1626145,1610612748,1631123,1631288,1629130,1631115,1629216,1629312,1631107,1630585,1630696,280.0,40.0,10.0,0
95,12200034,1610612740,1630700,1630530,1630631,1629637,1628984,1629627,1630230,202066,202685,1610612765,1631093,1630180,1630191,1630165,202711,1630595,1630296,1628963,1630587,280.0,40.0,10.0,1
96,12200035,1610612742,1630702,1626174,203915,1629029,1627827,1628416,1630182,203501,203493,1610612753,1630175,1631216,203082,1629643,1631094,1628976,1630181,1630284,1628964,280.0,40.0,10.0,0
97,12200036,1610612749,1629670,1630699,1626171,1626192,1628975,201950,1630572,201572,1628960,1610612737,1631213,1631100,203991,1629631,1629027,1628381,1628988,1630168,1630623,281.0,40.0,10.0,0
98,12200037,1610612761,1629018,1627783,1628384,1627832,1630567,1630173,1630625,1627823,1628367,1610612741,1629632,1630245,201942,202696,203897,1630172,1627936,1627884,1629750,282.0,40.0,10.0,0
99,12200039,1610612759,1626196,1628966,1631104,203476,1628380,1630200,1631103,203926,1631110,1610612740,1630530,1629627,1630529,202685,1630631,1630230,1628984,1631342,1626195,282.0,40.0,10.0,0
100,12200040,1610612744,1630228,201939,1629673,203952,1626172,1630237,1628978,1630164,1630541,1610612747,1631108,1630559,1629134,1629022,1629308,203076,1630346,1631306,1629117,282.0,40.0,10.0,0
101,12200041,1610612758,203084,1627734,1631099,1628368,1628989,1628370,1630558,1629002,1629644,1610612757,1629014,203081,203924,1628404,203994,1630553,1629642,1630846,1631101,282.0,40.0,10.0,1
102,12200042,1610612746,1629611,203496,202331,202694,202322,1628379,202695,202704,1627826,1610612750,1630162,1630183,1626157,1626156,1629675,1627752,1629669,1629162,1627854,282.0,40.0,10.0,0
103,12200043,1610612766,1630550,1629667,1626179,1630547,1628372,1630163,1630208,1631121,202330,1610612764,1628398,203115,1629060,1626153,1629655,1628420,1630692,1630264,204001,283.0,41.0,10.0,0
104,12200044,1610612739,1628386,1629636,1628378,1627747,1629731,1630171,1630600,1626224,1629603,1610612755,202699,1630178,201935,200782,1629001,1630194,1629003,1627777,1627863,283.0,41.0,10.0,0
