GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9
22100039,1610612758,203084,1628368,1630558,1626158,1630169,1627741,203090,202684,1629056
22100040,1610612747,2544,201566,203076,203145,2546,1628370,1630559,2730,201599
22100041,1610612766,1626162,1628970,202330,203486,1630163,202397,1629667,1628998,1630208
22100042,1610612754,203200,1627734,1627763,1630537,1629052,204456,1629048,203087,1626167
22100043,1610612737,1629027,1628989,1629629,203991,203992,1628381,1626153,101150,203476
22100044,1610612751,201142,201935,203925,1628971,201988,201933,1627761,1629651,1628975
22100045,1610612748,202710,200768,1629639,1628389,1629130,202693,200782,1629622,203473
22100046,1610612761,1627832,1630567,1628384,1629018,1630173,203920,201609,1629004,1630625
22100047,1610612750,1630162,1626157,1630183,1626156,1627736,201976,1629006,1629162,1627752
22100048,1610612743,203999,203115,203932,1629008,1628420,201145,1630267,203085,1630538
22100049,1610612746,202704,202331,1627826,1629611,1628379,202339,201587,1626159,1628392
22100050,1610612752,203944,203095,1629628,1629011,202689,201565,201959,202692,1630193
22100051,1610612760,1628983,1629652,1630526,1630581,1629026,1630177,1629647,203488,1630197
22100052,1610612742,1629029,1627827,203501,1628973,203939,204001,203493,1628467,1628425
22100053,1610612759,1627749,1627751,1630170,1628401,1629022,1628966,1629640,203926,1629234
22100054,1610612762,1628378,203497,1626220,201144,202711,204060,203903,202355,1629672
22100055,1610612753,1630591,1630175,1628976,1630532,1628964,203082,203914,1630181,1629021
22100056,1610612738,1627759,203935,1628369,203471,1629057,201143,1629684,1626196,203953
22100057,1610612751,201142,201935,1628971,203925,201988,201933,200794,1627761,200746
22100058,1610612761,1627832,1630567,1629018,1628384,1630173,203920,1628449,1630625,1629004
22100059,1610612740,1627742,202685,1628984,1629638,1630530,1630529,1630230,1630184,1629637
22100060,1610612749,203507,203114,1626192,201588,1628960,1629670,1626171,203918,1628400
22100061,1610612760,1628983,1629652,1630581,1629647,202324,1629026,1629676,1629660,1630177
22100062,1610612756,1626164,1629028,1628969,203109,101108,1629661,1629013,201580,203901
22100063,1610612757,203468,203081,1629014,203496,1629642,203469,203994,1628372,1626204
22100064,1610612746,202331,202704,1628379,201587,202339,1629611,1627826,1626159,1628392
22100065,1610612755,202699,203552,1630178,203954,201980,1627788,1629003,1629680,1627777
22100066,1610612764,1628398,203078,1626149,203484,1628988,203526,1630166,202722,1630557
22100067,1610612741,202696,203897,201942,1628366,1627936,1628972,1630172,1629750,1630245
22100068,1610612745,1630224,1626174,1630578,201569,1628464,1629645,1630231,1629717,1630256
22100069,1610612742,1629029,1627827,203501,1628973,203493,1628467,203939,1626161,1628373
22100070,1610612744,201939,203110,203952,1627814,2738,1629673,203490,1629308,202357
22100071,1610612761,1628384,1627832,1630567,1629018,203920,1630625,1630173,1628449,1629004
22100072,1610612751,201142,201935,203925,200746,1628971,201933,201988,1628975,200794
22100073,1610612748,202710,200768,1628389,1629639,1629130,200782,1629622,202693,203473
22100074,1610612740,1627742,1628984,202685,1629638,1630529,1628404,1630530,1630184,1629637
22100075,1610612743,203115,203999,1629008,1628420,203932,1628408,203085,1630267,201145
22100076,1610612757,203081,203496,203468,1629642,1626181,1629014,203994,203469,1626204
22100077,1610612747,2544,201566,203076,203145,2546,202340,1630559,2730,201599
22100078,1610612764,1628398,203078,203484,203915,1626149,1630166,202722,203526,1628988
22100079,1610612765,203924,1630180,203482,202709,1628367,1630165,1630191,1630595,1628402
22100080,1610612740,1630529,202685,1628984,1629638,1628404,1630530,1630184,203107,1629637
22100081,1610612754,1627734,1626167,204456,1630537,203200,1627747,203087,1629048,202954
22100082,1610612755,202699,203954,203552,1630178,1629680,201980,1629003,1627788,1627777
22100083,1610612741,201942,203897,202696,1628366,1627936,1629750,1630245,1627884,1628396
22100084,1610612763,1629630,1629001,1630217,1628991,203937,203500,1630241,1630214,1630533
22100085,1610612749,203507,203114,201588,1628960,1626192,203918,203648,1629670,1629620
22100086,1610612744,1629673,201939,203110,203952,1630541,202357,1626172,203490,2738
22100087,1610612750,1630162,1626157,1626156,1627736,1630183,201976,1629006,1629675,1629020
22100088,1610612756,101108,1626164,203109,1628969,1629661,1629028,201580,1629013,203901
22100089,1610612742,1627827,1629029,203939,203501,1628973,203493,1628373,1626161,1628425
22100090,1610612766,1628970,1630163,1626179,1626162,202330,203486,1629023,1628998,202397
22100091,1610612749,203507,203648,1628960,201588,1626192,1629620,1629670,1626171,203918
22100092,1610612751,201935,201142,203925,1627761,1628971,200746,201933,201949,201988
22100093,1610612747,201566,2544,203076,202340,203145,2546,1630559,1628370,201599
22100094,1610612766,1628970,1630163,1626179,202330,1628998,203486,1626162,1629023,202397
22100095,1610612754,1627734,1630537,204456,1628470,203200,1626167,1627747,202954,1629103
22100096,1610612755,203552,203083,1627777,1630178,1629680,1627788,1629003,201980,1630198
22100097,1610612737,1629027,203992,203991,1628381,1629631,1629629,201568,101150,1626153
22100098,1610612738,1628369,1627759,203935,201143,1626196,1629057,203471,1629684,1629641
22100099,1610612752,1629628,203944,202689,1629011,203095,201565,1630193,202692,1630167
22100100,1610612763,1629630,1630217,203500,1626145,203937,1629001,1628991,1630214,1630533
22100101,1610612750,1626157,1630162,1627736,1629020,1627752,1629162,1630183,1626156,1629675
22100102,1610612746,202331,202704,1629611,201587,1628379,202339,1628392,1627826,1626159
22100103,1610612765,1630180,1630595,1630165,1630191,203924,1626168,203482,1628367,1628402
22100104,1610612742,1629029,203501,1627827,1628973,203493,203939,1626161,1628373,1628425
22100105,1610612762,203497,1628378,202711,201144,1626220,204060,203903,1629672,202355
22100106,1610612756,1628969,101108,1626164,203109,1626163,1629661,201580,1629013,203901
22100107,1610612747,201566,2544,203076,2546,202340,203145,1630559,201599,1628370
22100108,1610612739,1630596,1628386,1629636,1629012,201937,1629731,1629685,1626224,202334
22100109,1610612754,1627763,1627734,1630537,1627747,1626167,203200,1628470,204456,1629048
22100110,1610612753,1630175,1628976,1630532,1628964,203082,1630591,1630181,1629643,1629021
22100111,1610612755,1629680,1630178,203552,203954,1627777,1627788,1629003,203083,1630198
22100112,1610612764,203078,203484,203915,1626149,1630166,203526,1628398,1629655,1630557
