model_id,tool,source_path,compile_status,object_path,binary_path,object_size_bytes,binary_size_bytes,object_text_bytes,object_data_bytes,object_bss_bytes,object_total_bytes,object_size_raw,binary_text_bytes,binary_data_bytes,binary_bss_bytes,binary_total_bytes,binary_size_raw,compile_stderr,link_stderr
rf_n30_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n30_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/rf_n30_d10__m2cgen.o,,30680.0,,19440.0,0.0,0.0,19536.0,"__TEXT	__DATA	__OBJC	others	dec	hex
19440	0	0	96	19536	4c50",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n30_d10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n30_d10__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
rf_n30_d10,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
rf_n100_d5,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n100_d5__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/rf_n100_d5__m2cgen.o,,47328.0,,26832.0,0.0,0.0,26928.0,"__TEXT	__DATA	__OBJC	others	dec	hex
26832	0	0	96	26928	6930",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n100_d5,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n100_d5__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
rf_n100_d5,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
rf_n100_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n100_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/rf_n100_d10__m2cgen.o,,101936.0,,66956.0,0.0,0.0,67052.0,"__TEXT	__DATA	__OBJC	others	dec	hex
66956	0	0	96	67052	105ec",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
rf_n100_d10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/rf_n100_d10__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
rf_n100_d10,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
extratrees_n30_d10,m2cgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/extratrees_n30_d10__m2cgen.c,compile_only_success,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/compiled/extratrees_n30_d10__m2cgen.o,,117616.0,,42916.0,0.0,0.0,43012.0,"__TEXT	__DATA	__OBJC	others	dec	hex
42916	0	0	96	43012	a804",,,,,,,"Undefined symbols for architecture arm64:
  ""_main"", referenced from:
      <initial-undefines>
ld: symbol(s) not found for architecture arm64
clang: error: linker command failed with exit code 1 (use -v to see invocation)"
extratrees_n30_d10,micromlgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
extratrees_n30_d10,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
